Order_No,Order_date,Customer_Name,Address,City,State,Customer_Type,Account_Manager,Order_Priority,Product_Name,Product_Category,Product_Container,Ship_Mode,Ship_Date,Cost_Price,Retail_Price,Profit_Margin,Order_Quantity,Sub_Total,Discount_percent,Discount_Amount,Order_Total,Shipping_Cost,Grand_Total
5400-1,5/2/2014,Eulex Forman,"255 Devonshire St,Surry Hills",Sydney,NSW,Corporate,Aanya Zhang,Not Specified,Cando PC940 Copier,Office Supplies,Small Box,Regular Air,7/2/2014,216.0,449.99,233.99,1,17549.61,0.0,1403.97,16145.64,24.49,16194.64
5402-1,29-09-2014,Christopher Martinez,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Not Specified,Artisan Round Ring Poly Binders,Technology,Jumbo Drum,Delivery Truck,29-09-2014,1.82,2.84,1.02,31,59.62,6.0,0.0,59.24,5.44,60.88
5402-1,12/9/2013,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Consumer,Leighton Forrest,High,Artisan Non-Stick Binders,Office Supplies,Small Pack,Regular Air,19-10-2013,2.74,4.49,1.75,37,62.94,8.0,0.64,62.38,1.49,69.33
5402-1,5/10/2013,Neil Knudson,"4A Lyons St,Strathfield",Sydney,NSW,Small Business,Tina Carlton,Medium,Aluminum Document Frame,Office Supplies,Wrap Bag,Express Air,7/10/2013,5.5,12.22,6.72,23,526.85,1.0,26.29,528.39,2.85,531.99
5402-1,28-04-2015,Dianna Arnett,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,Connor Betts,Critical,Artisan 474 Labels,Office Supplies,Small Pack,Regular Air,30-04-2015,1.84,2.88,1.04,49,86.0,7.0,2.61,75.29,0.99,74.48
5402-1,2/11/2013,Eugene Hildebrand,"120 Hardware St,Melbourne",Melbourne,VIC,Small Business,Connor Betts,Low,Steady Major Accent Highlighters,Technology,Small Box,Regular Air,3/11/2013,3.75,7.08,3.33,41,205.32,4.0,14.37,190.95,2.35,193.3
5402-1,15-02-2013,Jasper Cacioppo,"22 Addison Rd,Marrickville",Sydney,NSW,Corporate,Radhya Staples,High,Apex Preferred Stainless Steel Scissors,Technology,Small Box,Regular Air,16-02-2013,2.5,5.68,3.18,36,43.32,0.0,1.67,32.85,3.6,33.83
5402-1,2/11/2014,Lindsay Shagiari,"5/250 Old Northern Road ,Castle Hill",Sydney,NSW,Consumer,Nicholas Fernandes,High,Artisan 48 Labels,Office Supplies,Small Pack,Regular Air,4/11/2014,3.84,6.3,2.46,26,49.94,8.0,0.4,45.58,0.5,48.17
5402-1,7/5/2013,Berly Franz,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Home Office,Yvette Biti,Medium,Artisan Arch Ring Binders,Office Supplies,Wrap Bag,Regular Air,9/5/2013,36.02,58.1,22.08,13,45.4,8.0,7.45,41.59,1.49,43.28
5402-1,17-11-2013,Allen Armold,"224A Gertrude St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Critical,Apex Elite Stainless Steel Scissors,Office Supplies,Wrap Bag,Regular Air,18-11-2013,3.42,8.34,4.92,29,205.32,7.0,14.38,190.94,2.64,193.32
5402-2,2/2/2014,Edward Nazzal,"2a/285A Crown St,Surry Hills",Sydney,NSW,Home Office,Phoebe Gour,Critical,Unpadded Memo Slips,Technology,Medium Box,Regular Air,3/2/2014,2.59,3.98,1.39,8,43.78,9.0,4.38,39.4,2.97,42.37
5403-1,1/1/2015,Michael Oakman,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Small Business,Connor Betts,Not Specified,Artisan File Folder Labels,Office Supplies,Small Box,Regular Air,3/1/2015,1.84,2.88,1.04,38,36.7,0.0,2.83,34.43,5.33,35.73
5403-1,9/8/2013,Nancy Lomonaco,"523 King St,Newtown",Sydney,NSW,Home Office,Aanya Zhang,High,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies,Small Box,Regular Air,3/9/2013,16.8,40.97,24.17,23,546.12,1.0,27.26,512.68,8.99,523.99
5403-1,11/12/2013,Patrick Jones,"221 Barkly St,St Kilda",Melbourne,VIC,Small Business,Yvette Biti,Medium,Wirebound Voice Message Log Book,Office Supplies,Small Box,Regular Air,13-12-2013,2.9,4.76,1.86,22,5.1,7.0,0.0,5.18,0.88,7.18
5403-1,11/8/2014,Sara Luxemburg,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Low,TechSavi Cordless Access Keyboard,Office Supplies,Wrap Bag,Regular Air,14-08-2014,14.7,29.99,15.29,41,2454.46,10.0,43.35,2325.65,5.5,2328.15
5403-1,12/9/2013,Victoria Brennan,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Small Business,Nicholas Fernandes,Critical,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Regular Air,14-09-2013,54.29,90.48,36.19,16,3638.41,1.0,386.52,3335.63,19.99,3353.64
5403-1,24-07-2013,Karl Brown,"470 Anzac Parade,Kingsford",Sydney,NSW,Consumer,Tina Carlton,High,Artisan 479 Labels,Office Supplies,Small Box,Regular Air,26-07-2013,1.59,2.61,1.02,13,83.08,4.0,7.54,74.44,0.5,77.68
5403-1,22-07-2013,Rick Hansen,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,Nicholas Fernandes,Critical,Artisan Arch Ring Binders,Office Supplies,Small Box,Regular Air,23-07-2013,36.02,58.1,22.08,24,62.98,2.0,0.63,62.8,1.49,62.38
5403-1,9/5/2015,Sara Crown,"359 Crown Street,Surry Hills",Sydney,NSW,Small Business,Phoebe Gour,Not Specified,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,9/5/2015,3.32,5.18,1.86,33,144.45,7.0,4.45,130.46,2.04,115.69
5404-1,31-07-2013,Alex Grayson,"644 George St,Sydney",Sydney,NSW,Consumer,Radhya Staples,Medium,Artisan Poly Binder Pockets,Technology,Jumbo Drum,Delivery Truck,2/9/2013,2.26,3.58,1.32,46,157.96,7.0,5.9,148.68,5.47,159.33
5404-1,13-10-2013,Sylvia Foulston,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Consumer,Tina Carlton,Medium,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Regular Air,13-10-2013,13.88,22.38,8.5,10,852.76,5.0,74.28,764.04,15.1,764.04
5405-1,10/2/2014,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Medium,1726 Digital Answering Machine,Office Supplies,Small Box,Regular Air,11/2/2014,8.82,20.99,12.17,3,881.58,0.0,61.71,819.87,4.81,824.68
5405-1,2/9/2015,Giulietta Baptist,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Home Office,Tina Carlton,Medium,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,5/9/2015,8.82,20.99,12.17,50,807.82,8.0,90.88,817.98,4.81,824.68
5405-1,10/2/2014,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Not Specified,1726 Digital Answering Machine,Office Supplies,Small Box,Regular Air,11/2/2014,8.82,20.99,12.17,20,881.58,5.0,61.72,819.87,4.81,824.68
5406-1,23-02-2013,Sylvia Foulston,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Corporate,Tina Carlton,High,Smiths SlimLine Pencil Sharpener,Office Supplies,Small Box,Regular Air,23-02-2013,4.79,11.97,7.18,19,129.52,9.0,10.69,121.69,5.81,223.29
5407-1,24-08-2013,Brad Thomas,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Corporate,Tina Carlton,Medium,Artisan Durable Poly Binders,Office Supplies,Small Box,Regular Air,29-08-2013,3.37,5.53,2.16,7,119.46,6.0,4.69,112.08,6.98,110.58
5407-1,10/2/2014,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Critical,Cando S750 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,11/2/2014,75.0,120.97,45.97,3,472.7,9.0,41.76,420.24,26.3,483.54
5407-1,23-02-2014,Elima Hackney,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Medium,1726 Digital Answering Machine,Office Supplies,Small Box,Regular Air,26-02-2014,8.82,20.99,12.17,34,397.82,5.0,0.0,399.82,4.81,381.33
5407-1,23-03-2013,Rick Hansen,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Critical,Xit Blank Computer Paper,Office Supplies,Small Box,Regular Air,23-02-2013,12.39,19.98,7.59,23,412.9,2.0,0.0,419.84,5.77,404.83
5407-1,19-10-2014,Frank Merwin,"24 Addison Rd,Marrickville",Sydney,NSW,Small Business,Radhya Staples,High,Apex Preferred Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,21-10-2014,2.5,5.68,3.18,47,339.56,0.0,32.55,228.69,3.6,231.96
5408-1,19-05-2015,Carlos Meador,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Corporate,Tina Carlton,Medium,Artisan 481 Labels,Office Supplies,Wrap Bag,Regular Air,20-05-2015,1.94,3.08,1.14,6,24.7,1.0,2.69,23.53,0.99,25.43
5408-1,15-03-2014,Toby Swindell,"273 George Street,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Low,Binder Posts,Office Supplies,Wrap Bag,Express Air,15-03-2014,3.5,5.74,2.24,47,258.3,7.0,0.0,258.3,5.01,263.31
5409-1,12/2/2014,Julie Prescott,"438 Victoria Avenue,Chatswood",Sydney,NSW,Small Business,Natasha Song,Critical,Cando PC940 Copier,Office Supplies,Small Box,Regular Air,13-02-2014,216.0,449.99,233.99,6,2249.95,2.0,45.0,2204.95,24.49,2229.44
5409-1,5/7/2013,Berenike Kampe,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Critical,Artisan Arch Ring Binders,Office Supplies,Small Box,Regular Air,7/7/2013,36.02,58.1,22.08,11,84.0,8.0,7.55,76.69,1.49,73.48
5409-1,17-07-2014,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,"Artisan Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",Technology,Small Box,Regular Air,18-07-2014,1.05,1.95,0.9,29,29.7,3.0,1.58,26.52,1.63,26.47
5409-1,24-12-2016,Samath Foster,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Adesso Programmable 142-Key Keyboard,Office Supplies,Small Box,Regular Air,26-12-2016,32.02,152.48,120.46,7,2249.75,8.0,0.0,2249.45,4.0,2249.44
5409-1,4/1/2014,Saphhira Shifley,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Home Office,Preston Senome,High,Cando PC940 Copier,Technology,Small Box,Regular Air,5/1/2014,278.99,449.99,171.0,48,2242.94,4.0,46.4,2226.75,49.0,2229.44
5409-1,13-05-2013,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Artisan 479 Labels,Furniture,Large Box,Regular Air,15-05-2013,1.59,2.61,1.02,7,72.02,2.0,6.8,69.22,0.5,60.62
5409-1,1/2/2015,Paul Knutson,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Small Business,Leighton Forrest,Low,Cando PC940 Copier,Office Supplies,Small Box,Regular Air,3/2/2015,278.99,449.99,171.0,41,2247.75,4.0,64.87,2226.95,49.0,2229.44
5409-1,17-03-2014,Chad Cunningham,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Critical,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Express Air,18-03-2014,5.33,8.6,3.27,25,259.3,7.0,0.0,258.3,6.19,249.3
5409-1,23-11-2013,Sarah Foster,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,Medium,Cando S750 Color Inkjet Printer,Office Supplies,Wrap Bag,Express Air,25-11-2013,75.0,120.97,45.97,19,6799.55,9.0,249.97,6465.82,26.3,2656.36
5409-1,17-02-2015,Arn Shari,"98 Holdsworth Street,Woollahra",Sydney,NSW,Home Office,Natasha Song,Not Specified,Artisan 479 Labels,Office Supplies,Wrap Bag,Regular Air,19-02-2015,1.59,2.61,1.02,39,39.6,8.0,2.83,26.63,0.5,28.63
5409-1,4/2/2015,Susan Manchtan,"53 Riley Street,Woolloomooloo",Sydney,NSW,Home Office,Tina Carlton,Not Specified,Artisan 478 Labels,Office Supplies,Small Box,Regular Air,6/2/2015,3.14,4.91,1.77,48,64.32,5.0,4.32,62.29,0.5,63.69
5409-1,3/6/2014,Christopher Martinez,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Cando PC940 Copier,Furniture,Small Pack,Regular Air,5/6/2014,278.99,449.99,171.0,7,7299.04,1.0,182.06,7509.84,49.0,6529.86
5411-1,5/7/2015,Larry Tron,"4A Lyons St,Strathfield",Sydney,NSW,Consumer,Tina Carlton,Medium,"24 Capacity Maxi Data Binder Racks, Pearl",Technology,Small Pack,Regular Air,7/7/2015,84.22,210.55,126.33,41,1028.31,1.0,61.71,966.89,9.99,980.99
5411-1,13-02-2014,Steve Nguyen,"61 York St,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Not Specified,"Artisan Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Technology,Small Box,Regular Air,13-02-2014,4.48,8.14,3.66,30,119.35,3.0,10.74,108.61,3.12,109.31
5413-1,2/2/2014,Sanjit Jacobs,"541 Church St,Richmond",Melbourne,VIC,Consumer,Yvette Biti,Critical,Blackstonian Pencils,Office Supplies,Wrap Bag,Regular Air,3/2/2014,1.15,2.67,1.52,33,50.73,4.0,1.52,49.21,0.86,50.07
5413-1,2/2/2015,Paul Knutson,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Corporate,Leighton Forrest,Low,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Wrap Bag,Express Air,3/2/2015,21.56,35.94,14.38,26,6559.84,8.0,673.98,6604.83,6.66,6517.85
5413-1,19-05-2013,Brad Thomas,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,Not Specified,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,20-05-2013,1.84,2.88,1.04,38,116.0,0.0,3.76,106.82,0.99,107.04
5414-1,4/12/2014,Ed Braxton,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Home Office,Yvette Biti,Medium,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Pack,Regular Air,5/12/2014,4.53,7.3,2.77,22,238.05,7.0,19.17,228.55,7.72,239.51
5414-1,3/6/2014,Nathan Mautz,"412 Brunswick St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Not Specified,Multimedia Mailers,Office Supplies,Small Box,Regular Air,5/6/2014,99.39,162.93,63.54,1,3799.6,0.0,192.83,3633.33,19.99,3323.53
5414-1,15-02-2014,Yana Sorensen,"53-55 Liverpool St,Sydney",Sydney,NSW,Home Office,Tina Carlton,Critical,Artisan 487 Labels,Office Supplies,Small Box,Regular Air,20-02-2014,2.29,3.69,1.4,41,247.3,4.0,0.0,248.3,0.5,253.32
5414-1,17-04-2014,Anemone Ratner,"2-4 College Street, Darlinghurst",Sydney,NSW,Corporate,Nicholas Fernandes,Low,Wirebound Voice Message Log Book,Office Supplies,Wrap Bag,Regular Air,18-04-2014,2.9,4.76,1.86,45,134.46,5.0,5.34,143.92,0.88,148.59
5414-1,20-10-2013,Paul MacIntyre,"60 Commercial Rd,Prahran",Melbourne,VIC,Corporate,Yvette Biti,Low,Adesso Programmable 142-Key Keyboard,Office Supplies,Small Box,Regular Air,22-10-2013,32.02,152.48,120.46,29,939.06,3.0,0.0,936.06,4.0,959.36
5415-1,24-12-2016,Lisa Hazard,"Cnr Williams Road & Lechlade Ave,South Yarra",Melbourne,VIC,Consumer,Yvette Biti,Medium,Economy Rollaway Files,Office Supplies,Small Box,Regular Air,25-12-2016,67.73,165.2,97.47,48,31699.82,1.0,0.0,16629.04,19.99,16647.54
5415-1,20-05-2015,Allen Armold,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Critical,OIC Thumb-Tacks,Office Supplies,Small Pack,Regular Air,22-05-2015,0.71,1.14,0.43,9,50.92,9.0,3.42,49.52,0.7,50.07
5415-1,24-05-2015,Mike Gockenbach,"180 High Street,Windsor",Melbourne,VIC,Consumer,Connor Betts,Low,Smiths Metal Binder Clips,Office Supplies,Wrap Bag,Regular Air,28-05-2015,1.6,2.62,1.02,35,346.92,7.0,0.0,356.92,0.8,369.27
5415-1,27-09-2014,Cindy Chapman,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Low,Artisan 48 Labels,Office Supplies,Wrap Bag,Regular Air,2/10/2014,3.84,6.3,2.46,11,1221.76,10.0,0.0,125.36,0.5,130.05
5416-1,24-07-2015,Fred Chung,"73 MacLeay St,Potts Point",Sydney,NSW,Corporate,Natasha Song,Critical,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Office Supplies,Small Box,Regular Air,26-07-2015,14.95,34.76,19.81,13,1040.75,8.0,94.44,1715.69,8.22,1740.77
5416-1,16-02-2014,Pamela Coakley,"120 Hardware St,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Not Specified,1726 Digital Answering Machine,Technology,Small Box,Express Air,18-02-2014,8.82,20.99,12.17,34,503.76,6.0,5.04,498.72,4.81,503.53
5416-2,7/5/2013,Grant Carroll,"10 O'Connell St,Sydney",Sydney,NSW,Home Office,Aanya Zhang,Medium,Smiths Colored Bar Computer Paper,Office Supplies,Wrap Bag,Regular Air,9/5/2013,21.97,35.44,13.47,26,1765.52,8.0,97.45,1605.39,4.92,1745.82
5418-1,10/12/2013,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Critical,Steady Liquid Accent Highlighters,Technology,Medium Box,Regular Air,12/12/2013,3.47,6.68,3.21,10,40.9,0.0,4.0,39.6,1.5,40.49
5419-1,27-12-2014,Todd Boyes,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Corporate,Preston Senome,Critical,Artisan 487 Labels,Office Supplies,Wrap Bag,Regular Air,27-12-2014,2.29,3.69,1.4,29,242.46,7.0,14.45,228.46,0.5,238.84
5419-1,7/9/2014,Eugene Moren,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Corporate,Mihael Khan,Medium,Self-Adhesive Removable Labels,Technology,Small Box,Regular Air,7/9/2014,1.98,3.15,1.17,46,132.04,2.0,5.36,121.8,0.49,120.67
5419-1,18-07-2015,Susan Vittorini,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,Medium,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Wrap Bag,Regular Air,20-07-2015,13.88,22.38,8.5,19,620.6,9.0,18.32,399.95,15.1,393.63
5419-1,27-07-2013,Jona Lucar,"98-104 Parramatta Rd,Camperdown",Sydney,NSW,Small Business,Phoebe Gour,Critical,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Wrap Bag,Regular Air,29-07-2013,4.46,10.89,6.43,24,330.24,7.0,31.33,306.25,4.5,305.66
5420-1,21-07-2013,Adam Shillingsburg,"Westfield Parramatta,Parramatta",Sydney,NSW,Corporate,Stevie Bacata,Critical,Adesso Programmable 142-Key Keyboard,Office Supplies,Small Box,Regular Air,23-07-2013,39.64,152.48,112.84,31,4343.95,9.0,335.89,4755.22,6.5,4702.51
5420-1,12/3/2015,Susan Pistek,"2a/285A Crown St,Surry Hills",Sydney,NSW,Home Office,Phoebe Gour,Critical,Binder Clips by OIC,Office Supplies,Small Box,Regular Air,13-03-2015,0.93,1.48,0.55,50,68.06,9.0,0.0,68.08,0.7,68.78
5420-1,17-02-2013,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,Critical,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Wrap Bag,Regular Air,22-02-2013,0.9,2.1,1.2,8,36.7,4.0,1.07,34.63,0.7,35.33
5420-1,22-02-2014,Sanjit Jacobs,"541 Church St,Richmond",Melbourne,VIC,Small Business,Yvette Biti,Medium,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Small Box,Regular Air,23-02-2014,1.31,2.84,1.53,22,68.08,7.0,0.0,68.08,0.93,68.58
5420-1,6/1/2017,Saphhira Shifley,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Consumer,Preston Senome,High,Bagged Rubber Bands,Office Supplies,Small Box,Regular Air,7/1/2017,0.24,1.26,1.02,47,68.08,1.0,0.0,68.08,0.7,68.78
5420-1,22-02-2014,Sanjit Jacobs,"541 Church St,Richmond",Melbourne,VIC,Small Business,Yvette Biti,Not Specified,Artisan 479 Labels,Office Supplies,Small Box,Regular Air,23-02-2014,1.59,2.61,1.02,34,68.08,0.0,0.0,68.08,0.5,68.78
5421-1,22-02-2014,Grant Thornton,"1 John Street,Waterloo",Sydney,NSW,Corporate,Charlie Bui,Not Specified,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Small Box,Regular Air,23-02-2014,16.85,27.18,10.33,8,467.22,6.0,14.02,453.2,8.23,459.86
5421-1,16-07-2013,George Zrebassa,"81 MacLeay St,Potts Point",Sydney,NSW,Corporate,Samantha Chairs,Medium,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Small Box,Regular Air,17-07-2013,2.98,5.84,2.86,42,26.2,6.0,1.2,24.6,0.83,24.62
5421-1,22-02-2014,Amy Cox,"523 King St,Newtown",Sydney,NSW,Home Office,Aanya Zhang,Critical,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Wrap Bag,Regular Air,23-02-2014,21.56,35.94,14.38,1,467.22,5.0,14.02,453.2,6.66,459.86
5421-1,22-02-2014,Grant Thornton,"98 Holdsworth Street,Woollahra",Sydney,NSW,Corporate,Natasha Song,High,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Small Pack,Regular Air,23-02-2014,21.56,35.94,14.38,39,467.22,4.0,14.02,453.2,6.66,459.86
5423-1,14-08-2015,Nona Balk,"120 Hardware St,Melbourne",Melbourne,VIC,Small Business,Yvette Biti,Medium,"Message Book, One Form per Page",Office Supplies,Wrap Bag,Regular Air,16-08-2015,2.41,3.71,1.3,22,144.36,7.0,14.67,136.01,1.93,137.84
5423-1,23-02-2014,Silt French,"224A Gertrude St,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,Low,TechSavi Cordless Access Keyboard,Office Supplies,Small Box,Regular Air,26-02-2014,14.7,29.99,15.29,13,3644.1,1.0,0.0,3644.1,5.5,3651.28
5423-1,3/11/2014,Pete Armstrong,"506 Swan Street,Richmond",Melbourne,VIC,Consumer,Connor Betts,High,TechSavi Cordless Navigator Duo,Office Supplies,Small Box,Regular Air,7/11/2014,42.11,80.98,38.87,43,3644.1,7.0,0.0,3644.1,7.18,3651.28
5423-1,17-11-2013,Eugene Barchas,"Crown Complex,Southbank",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Creator Colored Pencils,Office Supplies,Small Box,Regular Air,17-11-2013,1.57,3.28,1.71,4,80.68,9.0,6.22,78.46,0.98,79.44
5424-1,17-12-2013,Tony Molinari,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Home Office,Mihael Khan,High,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,19-12-2013,1.84,2.88,1.04,22,125.2,7.0,12.2,121.04,0.99,122.74
5424-1,26-07-2013,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Small Business,Phoebe Gour,Critical,Artisan 48 Labels,Office Supplies,Wrap Bag,Regular Air,31-07-2013,3.84,6.3,2.46,18,146.96,1.0,14.48,146.16,0.5,132.36
5424-1,30-08-2015,Maxwell Schwartz,"81 MacLeay St,Potts Point",Sydney,NSW,Small Business,Samantha Chairs,Not Specified,Wirebound Voice Message Log Book,Office Supplies,Small Box,Regular Air,1/9/2015,2.9,4.76,1.86,34,185.84,7.0,5.56,159.84,0.88,159.64
5424-1,23-02-2014,Chad McGuire,"81 MacLeay St,Potts Point",Sydney,NSW,Home Office,Samantha Chairs,High,Artisan Non-Stick Binders,Furniture,Large Box,Regular Air,25-02-2014,2.74,4.49,1.75,41,26.94,4.0,0.81,26.13,1.49,27.62
5426-1,29-08-2013,John Castell,"154 Castlereagh St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,High,Artisan Binder Labels,Technology,Small Box,Regular Air,30-08-2013,2.45,3.89,1.44,5,23.92,8.0,1.14,22.18,7.01,22.59
5426-1,3/11/2014,Pete Armstrong,"506 Swan Street,Richmond",Melbourne,VIC,Corporate,Connor Betts,Medium,EcoTones Memo Sheets,Technology,Small Box,Regular Air,7/11/2014,2.52,4.0,1.48,26,132.0,2.0,10.56,121.44,1.3,122.74
5426-1,24-02-2014,Chad McGuire,"81 MacLeay St,Potts Point",Sydney,NSW,Corporate,Samantha Chairs,Critical,EcoTones Memo Sheets,Technology,Small Box,Regular Air,25-02-2014,2.52,4.0,1.48,43,132.0,8.0,10.56,121.44,1.3,122.74
5426-1,3/2/2017,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,Connor Betts,Critical,Artisan 481 Labels,Furniture,Large Box,Regular Air,5/2/2017,1.94,3.08,1.14,44,159.94,8.0,4.92,145.66,0.99,147.87
5426-1,10/5/2014,Jennifer Patt,"523 King St,Newtown",Sydney,NSW,Consumer,Aanya Zhang,Medium,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Wrap Bag,Express Air,12/5/2014,21.56,36.55,14.99,38,476.68,3.0,14.73,470.45,13.89,485.87
5426-1,5/12/2013,Trudy Brown,"180 High Street,Windsor",Melbourne,VIC,Consumer,Connor Betts,Not Specified,Deluxe Rollaway Locking File with Drawer,Furniture,Small Pack,Express Air,7/12/2013,178.83,415.88,237.05,25,2007.53,10.0,180.68,1826.85,11.37,1835.84
5426-1,21-09-2014,George Ashbrook,"506 Swan Street,Richmond",Melbourne,VIC,Corporate,Connor Betts,Not Specified,EcoTones Memo Sheets,Office Supplies,Small Box,Regular Air,23-09-2014,2.52,4.0,1.48,1,120.55,6.0,1.61,121.4,1.3,122.74
5426-1,11/6/2015,Tamara Chand,"188 Pitt Street,Sydney",Sydney,NSW,Consumer,Tina Carlton,Critical,Colored Envelopes,Office Supplies,Wrap Bag,Regular Air,11/6/2015,2.25,3.69,1.44,33,145.69,4.0,12.56,137.09,2.5,147.69
5426-1,24-02-2014,Pauline Chand,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Critical,EcoTones Memo Sheets,Office Supplies,Small Box,Regular Air,26-02-2014,2.52,4.0,1.48,40,132.0,5.0,10.56,121.44,1.3,122.74
5426-1,2/5/2013,Jack OBriant,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Consumer,Mihael Khan,Not Specified,"220 Trimline Phone, White",Office Supplies,Wrap Bag,Regular Air,2/5/2013,9.91,15.99,6.08,27,559.68,4.0,59.41,518.39,11.28,539.69
5428-1,25-02-2014,Bobby Elias,"506 Swan Street,Richmond",Melbourne,VIC,Home Office,Connor Betts,Critical,Creator Colored Pencils,Office Supplies,Small Pack,Regular Air,26-02-2014,1.57,3.28,1.71,21,85.28,3.0,6.82,78.46,0.98,79.44
5428-1,25-02-2014,Peilin Ludson,"501 George St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Critical,"Creator Anti Dust Chalk, 12/Pack",Technology,Small Box,Regular Air,27-02-2014,1.09,1.82,0.73,42,85.28,7.0,6.82,78.46,1.0,79.44
